r,g,value
IA,ppd,1.4384018344
IA,res,3.7193741833
IA,com,2.0691605691
IA,amb,6.0194678409
IA,fbp,5.2382992718
IA,rec,0.9300748634
IA,con,10.9595995018
IA,agr,2.1274821248
IA,eec,0.6833130616
IA,fnd,1.2421546327
IA,pub,1.0507093839
IA,hou,10.2011512451
IA,ins,8.8556493358
IA,tex,0.2682641206
IA,leg,2.0966751697
IA,fen,0.3282798558
IA,uti,1.0292391566
IA,nmp,0.6809720445
IA,brd,3.4226444462
IA,bnk,4.0931066462
IA,ore,6.2770998189
IA,edu,1.969670157
IA,ote,0.8959711823
IA,man,3.9820403693
IA,mch,4.3682831263
IA,dat,1.6956285862
IA,amd,0.8151202136
IA,oil,0.3046496416
IA,hos,6.6592550247
IA,rnt,1.7600630495
IA,pla,1.6015825984
IA,fof,0.5418916461
IA,fin,1.2388207635
IA,tsv,8.9053449485
IA,nrs,1.4673351445
IA,sec,2.4088469015
IA,art,0.6490538753
IA,mov,0.4311283427
IA,fpd,0.5057586534
IA,slg,7.027313415
IA,pri,0.4016719971
IA,grd,0.5306829809
IA,sle,0.7269728293
IA,osv,4.0595442088
IA,trn,0.0776130281
IA,smn,0.0107210538
IA,fmt,2.8576699062
IA,pet,3.42717312
IA,cep,1.020320847
IA,wst,0.6585426135
IA,mot,3.4846603501
IA,adm,4.4029648689
